URL,category_code,category_description,date_added,source,notes
anna-news.info,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
anonymizer.report.ru,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
anonymizer.report.ru_5FolderID_21226_.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,
another-kashin.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
ansardin.wordpress.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
antifashist.com,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
antijob.mahost.org,POLR,Political Criticism,2014-04-15,citizenlab,
antimaydan.info,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
arbitrage.webmoney.ru,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
arbitrage.webmoney.ua,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
arestant.msk.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
artem.gayclub.ru,LGBT,LGBT,2014-04-15,citizenlab,
artv-news.ru,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
arxiv.ruckp.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
auto.ru,COMM,E-commerce,2017-12-16,oonitarian,sanctions list
awvestnik.narod.ru,HUMR,Human Rights Issues,2014-04-15,citizenlab,
az.wikipedia.org,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
azart.net.ua,GMB,Gambling,2014-04-15,citizenlab,
azartplay.com,GMB,Gambling,2014-04-15,citizenlab,
azatlyk-vatan.blogspot.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,
bagnet.org,NEWS,News Media,2014-04-15,citizenlab,
balashov.com.ua,NEWS,News Media,2014-04-15,citizenlab,
banking.gdcert.com,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
banking.guarantee.ru,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
banking.wmeuro.eu,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
banks.webmoney.ru,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
beon.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
bestmaza.biz,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
betway.com,GMB,Gambling,2014-04-15,citizenlab,
bh42.blogspot.com,NEWS,News Media,2014-04-15,citizenlab,
blacksea.tv,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
blanki.net.ua,COMM,E-commerce,2014-04-15,citizenlab,
blog.i.ua,NEWS,News Media,2014-04-15,citizenlab,
blog.kp.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blog.liga.net,NEWS,News Media,2014-04-15,citizenlab,
blog.megaforum.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blog.meta.ua,NEWS,News Media,2014-04-15,citizenlab,
blog.polemika.com.ua,NEWS,News Media,2014-04-15,citizenlab,
blog.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blogroll.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blogs.gde.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blogs.kafanews.comblog,NEWS,News Media,2014-04-15,citizenlab,
blogs.korrespondent.net,NEWS,News Media,2014-04-15,citizenlab,
blogs.lb.ua,NEWS,News Media,2014-04-15,citizenlab,
blogs.mail.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blogs.pravda.com.ua,NEWS,News Media,2014-04-15,citizenlab,
blogs.privet.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blogs.voanews.com,NEWS,News Media,2014-04-15,citizenlab,
blogs.wsj.com,NEWS,News Media,2014-04-15,citizenlab,
blogs.yandex.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blogseo.ru,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
blogsochi.ru,NEWS,News Media,2014-04-15,citizenlab,
borgie.net,MISC,Miscelaneous content,2014-04-15,citizenlab,
bride.ru,DATE,Online Dating,2014-04-15,citizenlab,
brttv.ru,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
buddhism.org.ru,REL,Religion,2014-04-15,citizenlab,
buddhist.ru,REL,Religion,2014-04-15,citizenlab,
buro-perevodov14.jino-net.ru,COMT,Communication Tools,2014-04-15,citizenlab,
c-eho.info,NEWS,News Media,2018-03-15,ksenia,Crimean pro-Russian website from new ministry of information blocklist proposal
c-pravda.ru,NEWS,News Media,2018-02-23,igorv,
cannabisnature.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
caseofpussyriot.livejournal.com,NEWS,News Media,2014-04-15,citizenlab,
censor.net.ua,NEWS,News Media,2014-04-15,citizenlab,
censor.net.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
chadayev.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
chertog.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
childrenscinema.com,MISC,Miscelaneous content,2014-04-15,citizenlab,
circassianculturalinstitute.orgcircassians-protest-selection-sochi-2014-winter-olympics-venue-2,HUMR,Human Rights Issues,2014-04-15,citizenlab,
comingoutspb.ruenen-home,LGBT,LGBT,2014-04-15,citizenlab,
comitet.su,NEWS,News Media,2018-02-23,igorv,
commersant.ua,NEWS,News Media,2014-04-15,citizenlab,
community.livejournal.com,NEWS,News Media,2014-04-15,citizenlab,
community.livejournal.comdpni_ru,POLR,Political Criticism,2014-04-15,citizenlab,
community.livejournal.comopenrussia,POLR,Political Criticism,2014-04-15,citizenlab,
compromat.ru,NEWS,News Media,2014-04-15,citizenlab,
cones.tv,COMM,E-commerce,2014-04-15,citizenlab,
connect.ua,NEWS,News Media,2014-04-15,citizenlab,
contracept.newlist.ru,XED,Sex Education,2014-04-15,citizenlab,
coordmedcentr.org,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
credit.webmoney.ru,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
crimea.gov.ru,GOVT,Government,2018-05-28,ksenia,Order of the President of Ukraine 126
crimea.ria.ru,NEWS,News Media,2018-03-15,ksenia,Crimean pro-Russian website from new ministry of information blocklist proposal
crimea24.info,NEWS,News Media,2014-04-15,citizenlab,
