Index,URL,Country,AS Number,Last Known ip,Country of Last known IP,Blocking Style
50,realtor.com,Afghanistan,47447,185.213.175.45,GERMANY,IP BLOCKING
51,loading-delivery2.com,Afghanistan,47447,185.213.175.45,GERMANY,URL BLOCKING
52,handycafe.com,Afghanistan,47447,185.213.175.45,GERMANY,IP BLOCKING
53,hm.com,Afghanistan,47447,185.213.175.23,GERMANY,URL BLOCKING
54,nba.com,Afghanistan,47447,185.213.175.47,GERMANY,URL BLOCKING
55,elmogaz.com,Afghanistan,47447,185.213.175.32,GERMANY,URL BLOCKING
56,abcnews.go.com,Afghanistan,47447,185.213.175.32,GERMANY,IP BLOCKING
57,life.tw,Afghanistan,47447,185.213.175.32,GERMANY,URL BLOCKING
58,blogimg.jp,Afghanistan,47447,185.213.175.32,GERMANY,IP BLOCKING
59,bidverdrd.com,Afghanistan,47447,185.213.175.32,GERMANY,IP BLOCKING
60,rdsa2012.com,Afghanistan,47447,185.213.175.32,GERMANY,URL BLOCKING
61,poloniex.com,Afghanistan,35017,149.255.38.122,UNITED KINGDOM,URL BLOCKING
62,primosearch.com,Afghanistan,35017,162.252.172.81,UNITED KINGDOM,URL BLOCKING
63,39.net,Afghanistan,35017,162.252.172.81,UNITED KINGDOM,URL BLOCKING
64,fromdoctopdf.com,Afghanistan,35017,149.255.38.122,UNITED KINGDOM,URL BLOCKING
65,blpmovies.com,Afghanistan,35017,149.255.38.123,UNITED KINGDOM,URL BLOCKING
66,brilio.net,Afghanistan,35017,149.255.38.124,UNITED KINGDOM,URL BLOCKING
67,dingit.tv,Afghanistan,35017,149.255.38.122,UNITED KINGDOM,IP BLOCKING
68,kaskus.co.id,Afghanistan,35017,149.255.38.123,UNITED KINGDOM,IP BLOCKING
69,okdiario.com,Afghanistan,35017,162.252.172.81,UNITED KINGDOM,IP BLOCKING
70,shiltirs.com,Afghanistan,35017,162.252.172.81,UNITED KINGDOM,URL BLOCKING
71,adf.ly,Afghanistan,35017,162.252.172.82,UNITED KINGDOM,URL BLOCKING
72,pixabay.com,Afghanistan,35017,162.252.172.83,UNITED KINGDOM,URL BLOCKING
73,bloomberg.com,Afghanistan,35017,162.252.172.84,UNITED KINGDOM,URL BLOCKING
74,naver.jp,Afghanistan,35017,162.252.172.85,UNITED KINGDOM,INCONCLUSIVE
75,myanimelist.net,Afghanistan,35017,162.252.172.86,UNITED KINGDOM,IP BLOCKING
76,kissanime.ru,Afghanistan,35017,149.255.38.122,UNITED KINGDOM,IP BLOCKING
77,fwbntw.com,Afghanistan,35017,149.255.38.123,UNITED KINGDOM,IP BLOCKING
78,chip.de,Afghanistan,35017,162.252.172.81,UNITED KINGDOM,INCONCLUSIVE
79,gizmodo.com,Afghanistan,35017,162.252.172.82,UNITED KINGDOM,URL BLOCKING
80,gdax.com,Afghanistan,35017,162.252.172.83,UNITED KINGDOM,INCONCLUSIVE
81,blueseek.com,Afghanistan,35017,46.21.144.68,UNITED KINGDOM,URL BLOCKING
82,atlassian.net,Afghanistan,35017,46.21.144.69,UNITED KINGDOM,URL BLOCKING
83,nike.com,Afghanistan,35017,46.21.144.68,UNITED KINGDOM,IP BLOCKING
84,gyazo.com,Afghanistan,35017,46.21.144.69,UNITED KINGDOM,IP BLOCKING
85,groupon.com,Afghanistan,35017,46.21.144.68,UNITED KINGDOM,IP BLOCKING
86,souq.com,Afghanistan,35017,46.21.147.250,UNITED KINGDOM,IP BLOCKING
87,list-manage.com,Afghanistan,35017,46.21.147.250,UNITED KINGDOM,IP BLOCKING
88,jianshu.com,Afghanistan,35017,46.21.144.68,UNITED KINGDOM,IP BLOCKING
89,kohls.com,Afghanistan,35017,46.21.147.250,UNITED KINGDOM,IP BLOCKING
90,business-channel4.com,Afghanistan,35017,46.21.147.251,UNITED KINGDOM,IP BLOCKING
91,cambridge.org,Afghanistan,35017,46.21.147.250,UNITED KINGDOM,IP BLOCKING
92,gostream.is,Afghanistan,35017,46.21.147.250,UNITED KINGDOM,IP BLOCKING
93,hm.com,Afghanistan,35017,46.21.147.250,UNITED KINGDOM,IP BLOCKING
94,hubspot.com,Afghanistan,35017,46.21.147.251,UNITED KINGDOM,IP BLOCKING
95,manoramaonline.com,Afghanistan,35017,46.21.147.250,UNITED KINGDOM,IP BLOCKING
96,box.com,Afghanistan,35017,46.21.147.251,UNITED KINGDOM,IP BLOCKING
97,goo.ne.jp,Afghanistan,35017,46.21.147.252,UNITED KINGDOM,URL BLOCKING
98,tfetimes.com,Afghanistan,35017,46.21.147.253,UNITED KINGDOM,IP BLOCKING
99,themeforest.net,Afghanistan,35017,46.21.154.142,UNITED KINGDOM,URL BLOCKING
100,nordstrom.com,Afghanistan,35017,46.21.154.143,UNITED KINGDOM,URL BLOCKING
